Incident_ID,Date,Incident_Starttime,Incident_Endtime,Incident_Duration,Incident_Priority,Service_Area,Municipality,Damage_Type,LON,LAT
511,2018-09-07,08:25:18,10:00:56,01:35:38,2,Amstelveen,Amstelveen,Tree,4.83868524481792,52.2815520896425
738,2018-09-10,16:46:38,18:00:55,01:14:17,2,Victor,Amsterdam,Tree,4.93096754787219,52.3597244440499
739,2018-09-10,17:11:20,18:01:00,00:49:40,2,Dirk,Amsterdam,Building,4.89881790249568,52.3570706244933
1335,2018-09-18,19:17:33,20:41:29,01:23:56,2,Zebra,Amsterdam,"Fence, Road signs, Scaffolding",4.96080883108428,52.3921553300353
1493,2018-09-21,06:59:05,08:21:25,01:22:20,2,Amstelveen,Amstelveen,Tree,4.87974052526846,52.3013649186189
1502,2018-09-21,08:29:22,10:06:43,01:37:21,2,Dirk,Amsterdam,Building,4.87065557302208,52.3551894844894
1502,2018-09-21,08:29:22,10:06:43,01:37:21,2,Dirk,Amsterdam,Tree,4.87065557302208,52.3551894844894
1507,2018-09-21,09:25:55,11:43:54,02:17:59,2,Teunis,Amsterdam,Tree,4.83233283171867,52.3807479895685
1508,2018-09-21,09:34:54,12:54:46,03:19:52,5,Nico,Amsterdam,"Fence, Road signs, Scaffolding",4.90549098863719,52.3657351683189
1544,2018-09-21,17:03:15,18:32:00,01:28:45,2,Anton,Amsterdam,"Fence, Road signs, Scaffolding",4.9611329539226,52.3064316881886
1548,2018-09-21,17:53:27,20:14:56,02:21:29,2,Pieter,Amsterdam,"Fence, Road signs, Scaffolding",4.83504667556872,52.3668566362344
1548,2018-09-21,17:53:27,20:14:56,02:21:29,2,Pieter,Amsterdam,Tree,4.83504667556872,52.3668566362344
1551,2018-09-21,18:22:25,20:15:06,01:52:41,2,Amstelveen,Amstelveen,Tree,4.87252223632542,52.2891461909824
1552,2018-09-21,18:25:03,20:15:21,01:50:18,2,Willem,Amsterdam,Tree,4.90537651243141,52.3357156466762
1555,2018-09-21,18:32:34,20:15:26,01:42:52,2,Amstelveen,Amsterdam,Tree,4.88526817189771,52.3233906921726
1557,2018-09-21,18:33:55,20:15:33,01:41:38,2,Amstelveen,Amstelveen,"Fence, Road signs, Scaffolding",4.86874248510733,52.292769765174
1560,2018-09-21,18:55:17,20:15:37,01:20:20,2,Amstelveen,Amsterdam,Tree,4.87332485374907,52.3274917858614
1565,2018-09-21,19:01:57,20:15:40,01:13:43,2,Aalsmeer,Aalsmeer,Unknown,4.75931987793119,52.2564223082456
1567,2018-09-21,19:25:43,20:15:45,00:50:02,2,Hendrik,Amsterdam,"Fence, Road signs, Scaffolding",4.87334823944377,52.3685749617659
1567,2018-09-21,19:25:43,20:15:45,00:50:02,2,Hendrik,Amsterdam,Tree,4.87334823944377,52.3685749617659
1568,2018-09-21,19:32:52,20:15:50,00:42:58,2,Osdorp,Amsterdam,"Fence, Road signs, Scaffolding",4.79109589296025,52.3607295267025
1569,2018-09-21,19:36:11,20:15:53,00:39:42,2,Hendrik,Amsterdam,Unknown,4.88293665170231,52.3685442865812
1577,2018-09-21,21:27:17,22:17:44,00:50:27,2,Aalsmeer,Aalsmeer,Tree,4.77122002551034,52.2569433229057
1578,2018-09-21,21:32:56,22:17:47,00:44:51,2,Osdorp,Amsterdam,Tree,4.76943907187479,52.375700014126
1586,2018-09-22,00:36:18,05:38:26,05:02:08,5,Pieter,Amsterdam,Tree,4.85661375889242,52.3547139382497
1638,2018-09-22,16:15:22,16:30:28,00:15:06,5,Willem,Amsterdam,"Fence, Road signs, Scaffolding",4.88387610269883,52.3297391505196
1649,2018-09-22,19:42:20,20:23:38,00:41:18,3,Aalsmeer,Aalsmeer,Tree,4.75373186515749,52.2435935521467
1654,2018-09-22,20:26:01,21:46:42,01:20:41,5,Amstelveen,Amstelveen,Building,4.85946289566914,52.3015008703192
1658,2018-09-22,20:53:57,21:45:07,00:51:10,2,Teunis,Amsterdam,Building,4.88059524688379,52.3897093230768
1658,2018-09-22,20:53:57,21:45:07,00:51:10,2,Teunis,Amsterdam,"Fence, Road signs, Scaffolding",4.88059524688379,52.3897093230768
1683,2018-09-23,09:42:59,12:14:34,02:31:35,2,Dirk,Amsterdam,Building,4.87857743942176,52.3530307776284
1683,2018-09-23,09:42:59,12:14:34,02:31:35,2,Dirk,Amsterdam,Tree,4.87857743942176,52.3530307776284
1769,2018-09-24,11:30:46,12:17:35,00:46:49,2,Pieter,Amsterdam,Tree,4.85987533878064,52.3606424570459
